group,covariate,intercept,year,age,age1,age2,tv_sqrtcd4n,tv_sqrtcd4n1,tv_sqrtcd4n2
het_black_female,age1,0.228191147335622,-8.89964416322433e-05,-0.00152864125589,0.0043285684316421,-0.0167931107784506,-0.0001333279482419,0.0004180101315521,-0.0030754447647507
het_black_female,age2,-0.887080210794389,0.0003537408106809,0.0055646286359661,-0.0167931107784489,0.0671929452992717,0.0004510544662925,-0.0015245307073726,0.0115706750811256
het_black_female,tv_sqrtcd4n,-0.0490411232763778,2.23405215453412e-05,5.03009616003277e-05,-0.0001333279482419,0.0004510544662929,0.0002839926684504,-0.0008190943320918,0.004468040475773
het_black_female,tv_sqrtcd4n1,0.532249505892187,-0.0002592291334789,-0.0001494084305251,0.0004180101315549,-0.0015245307073823,-0.0008190943320921,0.0032891127914139,-0.0207738632681412
het_black_female,tv_sqrtcd4n2,-3.11839825070224,0.0015180574058247,0.0010638501675954,-0.0030754447647607,0.0115706750811622,0.0044680404757743,-0.0207738632681375,0.147198789147047
idu_black_male,intercept,1177.05608046218,-0.585069471296538,-0.0175779945317022,0.132189407214942,-0.61067108836924,-0.0023487860560504,0.0944609335474904,-0.460446343118581
idu_black_male,year,-0.585069471540201,0.0002909529478278,3.08251502263737e-06,-5.51425532039872e-05,0.0002576901215764,4.29938983101223e-07,-4.50849675669069e-05,0.0002208173358028
idu_black_male,age,-0.0175779945338272,3.08251501532825e-06,0.0002409528315495,-0.0004717006713975,0.0020951168585442,6.16489081602892e-06,-1.7537961008102e-05,6.19134248466067e-05
idu_black_male,age1,0.132189407232021,-5.5142553178861e-05,-0.0004717006713975,0.0012209322798469,-0.006143057452153,-1.92895503584045e-05,4.33292069622768e-05,-0.000198387830844
idu_black_male,age2,-0.610671088359627,0.0002576901214169,0.0020951168585437,-0.0061430574521444,0.0329962567761334,7.56717971138615e-05,-0.0001515745865431,0.000846449013029
idu_black_male,tv_sqrtcd4n,-0.002348786053715,4.29938983118086e-07,6.16489081598486e-06,-1.92895503582141e-05,7.56717971124737e-05,0.0001166781887596,-0.0003357247957684,0.0016177472728875
idu_black_male,tv_sqrtcd4n1,0.094460933545929,-4.50849675588734e-05,-1.75379610079898e-05,4.3329206961569e-05,-0.0001515745865423,-0.0003357247957685,0.0013582908496541,-0.0075180478027533
idu_black_male,tv_sqrtcd4n2,-0.460446343091317,0.000220817335759,6.19134248457871e-05,-0.0001983878308389,0.0008464490130158,0.001617747272888,-0.0075180478027527,0.0452517443863155
idu_black_female,intercept,13159.1597716816,-6.5746240147024,1.43663558879777,-2.09436502963587,11.0794495702618,-0.0634297429973056,1.71340566772634,-7.54972256132984
idu_black_female,year,-6.57462401466837,0.003288110929835,-0.0008632793900832,0.0012810840529766,-0.006694573070575,1.96913050676662e-05,-0.0008310577750802,0.0036895912101287
