group,covariate,intercept,year,age,age1,age2,sqrtcd4n,sqrtcd41,sqrtcd42,h1yy_cat_1,h1yy_cat_2
idu_black_male,sqrtcd4n,-0.0396789192856408,1.77436183488844e-05,6.19165822484504e-06,-3.57913713901085e-05,0.0001959804967318,0.0005493329779307,-0.001274637441864,0.0056822591371034,-0.000115835338704,4.14814045814631e-05
idu_black_male,sqrtcd41,0.0944637481969448,-4.39634412283573e-05,2.73105348193041e-05,4.46335227098541e-05,-0.000458045240731,-0.001274637441864,0.0034842772198838,-0.0167364983088007,-4.40274727651049e-06,-0.0007486549004134
idu_black_male,sqrtcd42,-0.506442132158818,0.0002425977249487,-0.0002548179715931,-4.58353246202403e-05,0.0018803336078478,0.0056822591371036,-0.0167364983088006,0.0849001929409526,-5.96940797793166e-05,0.0026425035320752
idu_black_male,h1yy_cat_1,0.51413396366412,-0.000259125581015,0.0001209649760954,-8.23035884552289e-05,0.0003208869666499,-0.0001158353387042,-4.40274727799493e-06,-5.96940797668997e-05,0.0114041042306543,0.0040238623624917
idu_black_male,h1yy_cat_2,2.6247886579458,-0.0013290192106481,0.0010182866422946,-0.0019742674305505,0.00903247510642,4.14814045818956e-05,-0.0007486549004215,0.0026425035321329,0.0040238623624619,0.137025388122155
idu_black_female,intercept,16969.2586094639,-8.48733212319123,2.27112818995626,-4.25125538627753,24.586918555891,0.52754105076201,-0.644956583747501,4.18729635913329,4.52187324713038,6.42782288193722
idu_black_female,year,-8.48733212311084,0.0042483901442434,-0.0012820735654377,0.0023597837451245,-0.0134311927498831,-0.0002961364622932,0.0003556314267907,-0.0021818097937589,-0.0022927082372592,-0.0018444155458294
idu_black_female,age,2.2711281899131,-0.0012820735654281,0.0068442144751945,-0.0114370504244383,0.0575408917734215,0.0006658281228702,-0.00018261622817,-0.0015393435016522,0.0012135729001919,-0.0595823620354714
idu_black_female,age1,-4.25125538591712,0.0023597837449609,-0.0114370504244398,0.0228071611441067,-0.127515884529496,-0.0007707337986282,0.0001949715307878,0.0006558494938922,0.0040711261283868,0.0862732854787673
idu_black_female,age2,24.586918553729,-0.0134311927488922,0.0575408917734309,-0.127515884529541,0.763507218056326,0.0015168907457693,0.0024258653489998,-0.0116881704771736,-0.0438223950815001,-0.39800212746773
idu_black_female,sqrtcd4n,0.527541050645313,-0.0002961364622202,0.0006658281228716,-0.0007707337986323,0.0015168907457713,0.004874282424978,-0.0095663440948177,0.046791412824014,0.0009156737443722,-0.0018264951209981
idu_black_female,sqrtcd41,-0.644956583544205,0.0003556314266596,-0.0001826162281712,0.0001949715307915,0.0024258653490166,-0.0095663440948172,0.0237094296366109,-0.129259706533063,-0.0067296214534841,-0.0151453014211281
idu_black_female,sqrtcd42,4.18729635860259,-0.0021818097933446,-0.001539343501632,0.0006558494938681,-0.0116881704771773,0.0467914128240003,-0.12925970653304,0.755436046691164,0.0333610090528611,0.102600056693677
idu_black_female,h1yy_cat_1,4.52187324788146,-0.0022927082376553,0.0012135729001865,0.0040711261283553,-0.0438223950811731,0.0009156737443868,-0.0067296214535055,0.0333610090528506,0.105459300106595,0.0361850782241728
