group,param,h1yy,pred
idu_black_male,lambda1,2029,1.2757207684924055
idu_black_male,lambda1,2030,1.3370028088194772
idu_black_male,lambda1,2031,1.398284849146549
idu_black_male,lambda1,2032,1.4595668894736349
idu_black_male,lambda1,2033,1.5208489298007066
idu_black_male,lambda1,2034,1.5821309701277784
idu_black_male,lambda1,2035,1.6434130104548643
idu_black_male,lambda2,2009,0.9499200380491288
idu_black_male,lambda2,2010,0.8886379977220429
idu_black_male,lambda2,2011,0.8273559573949711
idu_black_male,lambda2,2012,0.7660739170678994
idu_black_male,lambda2,2013,0.70479187674081345
idu_black_male,lambda2,2014,0.6435098364137417
idu_black_male,lambda2,2015,0.58222779608667
idu_black_male,lambda2,2016,0.520945755759584
idu_black_male,lambda2,2017,0.4596637154325123
idu_black_male,lambda2,2018,0.39838167510544054
idu_black_male,lambda2,2019,0.3370996347783546
idu_black_male,lambda2,2020,0.27581759445128284
idu_black_male,lambda2,2021,0.2145355541242111
idu_black_male,lambda2,2022,0.15325351379712515
idu_black_male,lambda2,2023,0.09197147347005341
idu_black_male,lambda2,2024,0.03068943314298167
idu_black_male,lambda2,2025,-0.03059260718410428
idu_black_male,lambda2,2026,-0.09187464751117602
idu_black_male,lambda2,2027,-0.15315668783824776
idu_black_male,lambda2,2028,-0.21443872816533371
idu_black_male,lambda2,2029,-0.27572076849240545
idu_black_male,lambda2,2030,-0.3370028088194772
idu_black_male,lambda2,2031,-0.39828484914656315
idu_black_male,lambda2,2032,-0.4595668894736349
idu_black_male,lambda2,2033,-0.5208489298007066
idu_black_male,lambda2,2034,-0.5821309701277784
idu_black_male,lambda2,2035,-0.6434130104548643
idu_black_male,mu1,2009,36.2181913258496
idu_black_male,mu1,2010,34.84092332807859
idu_black_male,mu1,2011,33.463655330307574
idu_black_male,mu1,2012,32.086387332536106
idu_black_male,mu1,2013,30.70911933476509
idu_black_male,mu1,2014,29.331851336994077
idu_black_male,mu1,2015,27.954583339223063
idu_black_male,mu1,2016,26.577315341451595
idu_black_male,mu1,2017,25.20004734368058
idu_black_male,mu1,2018,23.822779345909566
idu_black_male,mu1,2019,22.445511348138552
idu_black_male,mu1,2020,21.06824335036754
idu_black_male,mu1,2021,19.69097535259607
idu_black_male,mu1,2022,18.313707354825056
idu_black_male,mu1,2023,16.93643935705404
idu_black_male,mu1,2024,15.559171359283027
idu_black_male,mu1,2025,14.181903361511559
idu_black_male,mu1,2026,12.804635363740545
