group,age2009cat,h1yy,pct,upper,lower
idu_black_male,2,2007,0.3333333333333333,0.4444444444444444,0.1111111111111111
idu_black_male,2,2008,0.2777777777777778,0.7222222222222222,0.4444444444444444
idu_black_male,2,2009,0.2777777777777778,1,0.7222222222222222
idu_black_male,3,2000,0.29411764705882354,0.29411764705882354,0
idu_black_male,3,2001,0.014705882352941176,0.3088235294117647,0.29411764705882354
idu_black_male,3,2002,0.0661764705882353,0.375,0.3088235294117647
idu_black_male,3,2003,0.029411764705882353,0.40441176470588236,0.375
idu_black_male,3,2004,0.10294117647058823,0.5073529411764706,0.40441176470588236
idu_black_male,3,2005,0.0661764705882353,0.5735294117647058,0.5073529411764706
idu_black_male,3,2006,0.09558823529411764,0.6691176470588235,0.5735294117647058
idu_black_male,3,2007,0.09558823529411764,0.7647058823529411,0.6691176470588235
